Command Complete Flag
Command Error Flag
Command Ready Flag
Result Ready Flag
Result OR Flag
Reserved
Reserved
Reserved
READY1
READY2
READY3
READY4
Reserved
Reserved
Reserved
Reserved
ACK1
ACK2
ACK3
ACK4
Reserved
Reserved
Reserved
Reserved
BUSY
ERROR
Reserved
RUN
Reserved
Reserved
Reserved
Reserved
Tool Judge Value0
Tool Judge Value1
Tool Judge Value2
Tool Judge Value3
Tool Judge Value4
Tool Judge Value5
Tool Judge Value6
Tool Judge Value7
Tool Judge Value8
Tool Judge Value9
Tool Judge Value10
Tool Judge Value11
Tool Judge Value12
Tool Judge Value13
Tool Judge Value14
Tool Judge Value15
Tool Judge Value16
Tool Judge Value17
Tool Judge Value18
Tool Judge Value19
Tool Judge Value20
Tool Judge Value21
Tool Judge Value22
Tool Judge Value23
Tool Judge Value24
Tool Judge Value25
Tool Judge Value26
Tool Judge Value27
Tool Judge Value28
Tool Judge Value29
Tool Judge Value30
Tool Judge Value31
Tool Judge Value32
Tool Judge Value33
Tool Judge Value34
Tool Judge Value35
Tool Judge Value36
Tool Judge Value37
Tool Judge Value38
Tool Judge Value39
Tool Judge Value40
Tool Judge Value41
Tool Judge Value42
Tool Judge Value43
Tool Judge Value44
Tool Judge Value45
Tool Judge Value46
Tool Judge Value47
Tool Judge Value48
Tool Judge Value49
Tool Judge Value50
Tool Judge Value51
Tool Judge Value52
Tool Judge Value53
Tool Judge Value54
Tool Judge Value55
Tool Judge Value56
Tool Judge Value57
Tool Judge Value58
Tool Judge Value59
Tool Judge Value60
Tool Judge Value61
Tool Judge Value62
Tool Judge Value63
Error Code
Error Code
Error Code
Error Code
Error Code
Error Code
Error Code
Error Code
Error Code
Error Code
Error Code
Error Code
Error Code
Error Code
Error Code
Error Code
Reserved
Reserved
Reserved
Reserved
Reserved
Reserved
Reserved
Reserved
Reserved
Reserved
Reserved
Reserved
Reserved
Reserved
Reserved
Reserved
Total Count
Command Result
Command Data1
Command Data2
Command Data3
Command Data4
Command Data5
Command Data6
Result Data1
Result Data2
Result Data3
Result Data4
